省,年份,家谱数量
江苏,1855,4
江苏,1856,5
江苏,1859,10
江苏,1860,3
江苏,1861,2
江苏,1862,3
江苏,1863,2
江苏,1865,7
江苏,1866,1
江苏,1867,2
江苏,1868,9
江苏,1869,6
江苏,1870,17
江苏,1871,12
江苏,1872,20
江苏,1873,18
江苏,1874,24
江苏,1875,21
江苏,1876,24
江苏,1877,20
江苏,1878,20
江苏,1879,20
江苏,1880,21
江苏,1881,19
江苏,1882,15
江苏,1883,14
江苏,1884,8
江苏,1885,11
江苏,1886,9
江苏,1887,22
江苏,1888,13
江苏,1889,17
江苏,1890,17
江苏,1891,10
江苏,1892,13
江苏,1893,11
江苏,1894,18
江苏,1895,12
江苏,1896,19
江苏,1897,15
江苏,1898,11
江苏,1899,11
江苏,1900,24
江苏,1901,20
江苏,1902,12
江苏,1903,25
江苏,1904,25
江苏,1905,15
江苏,1906,15
江苏,1907,16
江苏,1908,19
江苏,1909,33
江苏,1910,11
江苏,1911,30
江苏,1912,6
江苏,1913,17
江苏,1914,31
江苏,1915,35
江苏,1916,30
江苏,1917,29
江苏,1918,23
江苏,1919,30
江苏,1920,35
江苏,1921,38
江苏,1922,33
江苏,1923,24
江苏,1924,33
江苏,1925,21
江苏,1926,29
江苏,1927,21
江苏,1928,34
江苏,1929,29
江苏,1930,22
江苏,1931,27
江苏,1932,10
江苏,1933,28
江苏,1934,17
江苏,1935,18
江苏,1936,29
江苏,1937,22
江苏,1938,3
江苏,1939,9
江苏,1940,13
江苏,1941,17
江苏,1942,16
江苏,1943,22
江苏,1944,8
江苏,1945,9
江苏,1946,20
江苏,1947,32
江苏,1948,44
江苏,1949,17
江苏,1950,10
江苏,1951,10
江苏,1952,6
江苏,1953,2
江苏,1954,2
江苏,1955,1
江苏,1956,1
江苏,1957,1
江苏,1958,1
江苏,1961,1
江苏,1962,13
江苏,1963,2
江苏,1965,1
江苏,1971,1
江苏,1975,2
江苏,1976,2
江苏,1981,2
江苏,1984,3
江苏,1985,6
江苏,1986,5
江苏,1987,12
江苏,1988,12
江苏,1989,11
江苏,1990,17
江苏,1991,20
江苏,1992,23
江苏,1993,31
江苏,1994,24
江苏,1995,41
江苏,1996,27
江苏,1997,15
江苏,1998,41
江苏,1999,35
江苏,2000,34
江苏,2001,33
江苏,2002,40
江苏,2003,42
江苏,2004,54
江苏,2005,58
江苏,2006,73
江苏,2007,58
江苏,2008,105
江苏,2009,118
江苏,2010,139
江苏,2011,136
江苏,2012,151
江苏,2013,140
江苏,2014,170
江苏,2015,176
江苏,2016,158
江苏,2017,154
江苏,2018,140
江苏,2019,129
江苏,2020,115
江苏,2021,82
江苏,2022,55
江苏,2023,27
